NORMALITY:
                                                         W      pval  normal
         retweets_distilbert_False_XGBClassifier                retweets_glove_True_XGBClassifier   0.0033    0.9 -0.0311  0.0378  False
         retweets_distilbert_False_XGBClassifier             retweets_roberta_False_MLPClassifier    0.012    0.9 -0.0224  0.0465  False
         retweets_distilbert_False_XGBClassifier    retweets_roberta_False_RandomForestClassifier   0.0231 0.7551 -0.0113  0.0576  False
         retweets_distilbert_False_XGBClassifier           retweets_roberta_False_RidgeClassifier   0.0231 0.7551 -0.0113  0.0576  False
         retweets_distilbert_False_XGBClassifier             retweets_roberta_False_XGBClassifier   0.0345 0.0492     0.0  0.0689   True
         retweets_distilbert_False_XGBClassifier              retweets_roberta_True_MLPClassifier  -0.0105    0.9 -0.0449  0.0239  False
         retweets_distilbert_False_XGBClassifier     retweets_roberta_True_RandomForestClassifier   0.0245 0.6541   -0.01  0.0589  False
         retweets_distilbert_False_XGBClassifier            retweets_roberta_True_RidgeClassifier   0.0245 0.6541   -0.01  0.0589  False
         retweets_distilbert_False_XGBClassifier              retweets_roberta_True_XGBClassifier   0.0405 0.0036   0.006  0.0749   True
         retweets_distilbert_False_XGBClassifier          retweets_structured_False_MLPClassifier  -0.0854  0.001 -0.1198 -0.0509   True
         retweets_distilbert_False_XGBClassifier retweets_structured_False_RandomForestClassifier  -0.0707  0.001 -0.1051 -0.0363   True
         retweets_distilbert_False_XGBClassifier        retweets_structured_False_RidgeClassifier  -0.0707  0.001 -0.1051 -0.0363   True
         retweets_distilbert_False_XGBClassifier          retweets_structured_False_XGBClassifier  -0.0794  0.001 -0.1138 -0.0449   True
          retweets_distilbert_True_MLPClassifier  retweets_distilbert_True_RandomForestClassifier   0.0316 0.1357 -0.0029   0.066  False
          retweets_distilbert_True_MLPClassifier         retweets_distilbert_True_RidgeClassifier   0.0316 0.1357 -0.0029   0.066  False
          retweets_distilbert_True_MLPClassifier           retweets_distilbert_True_XGBClassifier   0.0298 0.2321 -0.0046  0.0642  False
